codigo_aeronave,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_aviacao,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,classificacao,tipo,localidade,uf,pais,quantidade_recomendacoes,aeronaves_envolvidas,dia,mes,ano,periodo_mes,dia_semana,periodo_semana,hora,periodo_dia
4,241,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,1.0,660,2.0,1962.0,BRASIL,INSTRUÇÃO,INDETERMINADA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,INDETERMINADA,PIRACICABA,SP,BRASIL,0,1,14,6,2011,meio,1,semana,20,noite
40,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,1.0,660,2.0,1960.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,BRAGANÇA PAULISTA,SP,BRASIL,0,1,5,11,2015,inicio,3,semana,19,noite
118,1232,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,2.0,2310,6.0,1966.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,CRATEÚS,CE,BRASIL,4,1,15,12,2010,meio,2,semana,9,manha
130,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTÃO,1.0,1633,6.0,1979.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,PRIVADA,LEVE,0,INCIDENTE GRAVE,COM TREM DE POUSO,SÃO LUÍS,MA,BRASIL,1,1,4,2,2009,inicio,2,semana,15,tarde
191,4365,AVIÃO,BOEING COMPANY,737-241,JATO,2.0,52389,117.0,1975.0,BRASIL,REGULAR,SUBIDA,REGULAR,NENHUM,0,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,TEFÉ,AM,BRASIL,0,1,7,6,2008,inicio,5,fds,14,tarde
206,3992,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,1.0,1338,4.0,1974.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,BURITAMA,SP,BRASIL,0,1,22,7,2009,fim,2,semana,14,tarde
213,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202,4.0,1977.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,ACIDENTE,FALHA DE SISTEMA / COMPONENTE,CIANORTE,PR,BRASIL,0,1,8,11,2013,inicio,4,semana,18,tarde
221,283,AVIÃO,PIPER AIRCRAFT,PA-28-140,PISTÃO,1.0,884,2.0,1973.0,BRASIL,INSTRUÇÃO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,MAIRIPORÃ,SP,BRASIL,0,1,7,6,2014,inicio,5,fds,14,tarde
248,4158,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1.0,1950,6.0,1983.0,BRASIL,ADMINISTRAÇÃO DIRETA,PAIRADO,POLICIAL,NENHUM,0,ACIDENTE,COM PESSOAL EM VOO,FLORIANÓPOLIS,SC,BRASIL,1,1,13,1,2009,meio,1,semana,19,noite
248,2486,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1.0,1950,6.0,1983.0,BRASIL,MÚLTIPLA,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,RIO DE JANEIRO,RJ,BRASIL,0,1,8,5,2013,inicio,2,semana,15,tarde
